5,0.007786,7,6.4
5,0.0002009,7,6.4
5,0.0001943,7,6.4
5,0.0001947,7,6.4
5,0.0002427,7,6.4
6,0.0023298,7.5,7
6,0.0015926,7.5,7
6,0.0016256,7.5,7
6,0.0015926,7.5,7
6,0.0015922,7.5,7
7,0.0051897,7,7
7,0.0053168,7,7
7,0.0053147,7,7
7,0.005209,7,7
7,0.005407,7,7
8,0.0566258,7.5,7.25
8,0.0525922,7.5,7.25
8,0.0562871,7.5,7.25
8,0.0645495,7.5,7.25
8,0.0556146,7.5,7.25
9,0.339201,7,6.88889
9,0.33091,7,6.88889
9,0.333479,7,6.88889
9,0.343315,7,6.88889
9,0.338061,7,6.88889
10,1.71698,7,6.4
10,1.74144,7,6.4
10,1.83636,7,6.4
10,1.76532,7,6.4
10,1.87344,7,6.4
11,9.71713,7,6.63636
11,9.60819,7,6.63636
11,9.45753,7,6.63636
11,9.5656,7,6.63636
11,9.62701,7,6.63636
12,21.6681,7.5,6.75
12,21.7911,7.5,6.75
12,21.789,7.5,6.75
12,21.6574,7.5,6.75
12,21.8915,7.5,6.75
