10000,0.0238033,5,5.4603
10000,0.0247036,5,5.4603
10000,0.0240563,5,5.4603
10000,0.0242673,5,5.4603
10000,0.0247003,5,5.4603
100000,0.282585,7,6.08993
100000,0.264982,7,6.08993
100000,0.271717,7,6.08993
100000,0.269654,7,6.08993
100000,0.272285,7,6.08993
500000,1.37892,7,6.66572
500000,1.34457,7,6.66572
500000,1.35855,7,6.66572
500000,1.37403,7,6.66572
500000,1.4035,7,6.66572
962903,2.73235,7,6.63661
962903,2.7682,7,6.63661
962903,2.73644,7,6.63661
962903,2.76027,7,6.63661
962903,2.76556,7,6.63661
