10000,0.155043,5,5.4603
10000,0.149744,5,5.4603
10000,0.149872,5,5.4603
10000,0.145022,5,5.4603
10000,0.148354,5,5.4603
100000,1.89449,7,6.08993
100000,1.93799,7,6.08993
100000,1.97355,7,6.08993
100000,1.87293,7,6.08993
100000,1.85777,7,6.08993
500000,10.8067,7,6.66572
500000,10.6572,7,6.66572
500000,10.8923,7,6.66572
500000,11.2017,7,6.66572
500000,10.8478,7,6.66572
962903,22.6338,7,6.63661
962903,22.2067,7,6.63661
962903,22.1749,7,6.63661
962903,21.2803,7,6.63661
962903,22.4601,7,6.63661
